"document","year"
"3171221.3171278","2018"
"3171221.3171279","2018"
"3171221.3171280","2018"
"3171221.3171281","2018"
"3171221.3171282","2018"
"3171221.3171283","2018"
"3171221.3171284","2018"
"3171221.3171285","2018"
"3171221.3171286","2018"
"3171221.3171287","2018"
"3171221.3171288","2018"
"3171221.3171289","2018"
"3378680.3378684","2019"
"3378680.3378685","2019"
"3378680.3378686","2019"
"3378680.3378687","2019"
"3378680.3378689","2019"
"3378680.3378690","2019"
"3378680.3378691","2019"
"3378680.3378692","2019"
"3378680.3378694","2019"
"3378680.3378695","2019"
"3378680.3378696","2019"
"3378680.3378697","2019"
"3378680.3378699","2019"
"3378680.3378700","2019"
"3378680.3378701","2019"
"3378680.3378702","2019"
"3378680.3378706","2019"
"3378680.3378707","2019"
"3378680.3378708","2019"
"3378680.3378709","2019"
"3378680.3378710","2019"
"3378680.3378711","2019"
"3378680.3378713","2019"
"3378680.3378714","2019"
"3378680.3378715","2019"
"3378680.3378716","2019"
"3378680.3378717","2019"
"3378680.3378718","2019"
"3378680.3378720","2019"
"3378680.3378721","2019"
"3378680.3378722","2019"
"3378680.3378723","2019"
"3378680.3378736","2019"
"3378680.3378737","2019"
"3378680.3378738","2019"
"3378680.3378739","2019"
"3378680.3378740","2019"
"3378680.3378746","2019"
"3378680.3378747","2019"
"3378680.3378748","2019"
"3378680.3378749","2019"
"3378680.3378750","2019"
"3378680.3378751","2019"
"3378680.3378753","2019"
"3378680.3378754","2019"
"3378680.3378755","2019"
"3378680.3378756","2019"
"3378680.3378757","2019"
"3378680.3378758","2019"
"3378680.3378760","2019"
"3378680.3378761","2019"
"3378680.3378762","2019"
"3378680.3378763","2019"
"3319502.3374775","2020"
"3319502.3374776","2020"
"3319502.3374777","2020"
"3319502.3374778","2020"
"3319502.3374779","2020"
"3319502.3374780","2020"
"3319502.3374781","2020"
"3319502.3374782","2020"
"3319502.3374783","2020"
"3319502.3374784","2020"
"3319502.3374785","2020"
"3319502.3374786","2020"
"3319502.3374787","2020"
"3319502.3374788","2020"
"3319502.3374789","2020"
